,แขวง,ประเภทอาหาร,Restaurant Name,Link,description
,,,,,
1,สีลม,Chinese,แสนยอดโภชนา,"https://www.google.com/maps/place/Grand+Sanyod/@13.7188437,100.5150969,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29ed353f2c58b:0x6d8a572c76c3e8ac!8m2!3d13.7188385!4d100.5176718!16s%2Fg%2F1v_v_tvj?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารจีนกวางตุ้งเก่าแก่กว่า 50 ปี มีเมนูราดหน้าและเป็ดย่าง
2,สีลม,Healthy,โจ๊กปริ้นซ์,"https://www.google.com/maps/place/Jok+Prince/@13.720398,100.5134017,852m/data=!3m1!1e3!4m6!3m5!1s0x30e298c5ae4db7f9:0xa7904c168b6f6d83!8m2!3d13.7208579!4d100.516151!16s%2Fg%2F12qg0b0tr?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านโจ๊กชื่อดังที่ทำจากเตาถ่าน มีความหอมเป็นเอกลักษณ์
3,สีลม,Chinese,ร้านประจักษ์,"https://www.google.com/maps/place/Prachak+(Roasted+Duck)/@13.7264095,100.537303,852m/data=!3m1!1e3!4m6!3m5!1s0x30e298c5ae7f1d55:0xb3b1bf2284911ad0!8m2!3d13.7203928!4d100.5159766!16s%2Fg%2F1hc8ld1sz?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านเก่าแก่ในย่านบางรักที่มีอายุมากกว่า 100 ปี
4,สีลม,Western,BITTERMAN,"https://www.google.com/maps/place/Bitterman/@13.7271025,100.5419286,852m/data=!3m1!1e3!4m6!3m5!1s0x30e29f2f0c7ce703:0x109018d262c6d2cd!8m2!3d13.7264043!4d100.5398779!16s%2Fg%2F11b775h1hy?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านขาหมูต้นตำรับระดับตำนานกว่า 60 ปี
5,สีลม,Thai,นอร์ธ อีสต์,"https://www.google.com/maps/place/Northeast/@13.7271077,100.5393537,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29f2baa0d02a9:0x6786ecac570628b5!8m2!3d13.7271025!4d100.5419286!16s%2Fg%2F1hc4tq1zn?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารอีสานลูกค้ากว่าครึ่งเป็นชาวต่างชาติ แต่รสชาติแซ่บสะเด็ดสไตล์คนไทย
6,สีลม,Japanese,ภัตตาคาร เดอะเจแปน,"https://www.google.com/maps/place/The+Japan+Restaurant/@13.7233867,100.5280178,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29f2d580e5c79:0xcb34273c2fff337e!8m2!3d13.7233815!4d100.5305927!16s%2Fg%2F11bz0vxpyh?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารสมาคมญี่ปุ่นแห่งประเทศไทย ราคาเป็นมิตร
7,สีลม,Thai,เย็นตาโฟ คอนแวนต์,"https://www.google.com/maps/place/Yentafo+Convent/@13.7208631,100.5135761,852m/data=!3m1!1e3!4m6!3m5!1s0x30e29f2dcf7d29b5:0x554b14d02d6fe67d!8m2!3d13.7251712!4d100.5343467!16s%2Fg%2F1pv6y3gpg?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านเย็นตาโฟเจ้าดังในซอยคอนแวนต์ ร้านเก่าแก่เปิดมานานเกือบ 50 ปี ดีกรีมิชลินไกด์ปี 2018
8,สีลม,Western,ซานอตติ,"https://www.google.com/maps/place/Zanotti+IL+Ristorante+Italiano/@13.7251764,100.5294758,852m/data=!3m1!1e3!4m6!3m5!1s0x30e29f2eec7cf853:0x7565346a4136d67a!8m2!3d13.7268154!4d100.5368566!16s%2Fg%2F1tfyb0f1?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารItalian สุดคลาสสิคร้านหนึ่งในซอยศาลาแดง บรรยากาศหรูหรา สบายๆ เมนูเด็ดของที่ร้านคือ“พิซซ่า” 
9,สีลม,Western,Brasserie 9,"https://www.google.com/maps/place/Brasserie+9/@13.7242285,100.5330566,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29f2d970c0e35:0x387d286f6a49276e!8m2!3d13.7242285!4d100.5330566!16s%2Fg%2F11gcqx4b9s?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารสไตล์ฝรั่งเศสต้นตำรับ บรรยากาศสไตล์บิสโทร
10,สีลม,Chinese,แหลมเจริญ ซีฟู้ด,"https://www.google.com/maps/place/Laem+Charoen+Seafood/@13.7283844,100.5346196,852m/data=!3m3!1e3!4b1!5s0x30e29f2c02ea10a7:0xc36793e2d144025b!4m6!3m5!1s0x30e2991b0e99a2d3:0x146d22102edda9!8m2!3d13.7283844!4d100.5346196!16s%2Fg%2F1pzrlzpff?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารทะเล และหัวใจของแหลมเจริญซีฟู้ด คือ ความสุข ความอบอุ่น ที่ส่งต่อให้กับลูกค้า 
11,สีลม,Thai,เบญจรงค์,"https://www.google.com/maps/place/Benjarong+Bangkok+-+Baan+Dusit+Thani/@13.7273702,100.5325633,2136m/data=!3m1!1e3!4m10!1m2!2m1!1z4LmA4Lia4LiN4LiI4Lij4LiH4LiE4LmM!3m6!1s0x30e2993a67658f9f:0xeeb3a6b5a674c4b0!8m2!3d13.7268175!4d100.5362069!15sChjguYDguJrguI3guIjguKPguIfguITguYxaGiIY4LmA4Lia4LiN4LiI4Lij4LiH4LiE4LmMkgEPdGhhaV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4yZVMxaGVFTkJFQUXgAQD6AQUIrAYQPQ!16s%2Fg%2F1wjw9373?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารไทยชั้นเลิศที่นำเสนออาหารไทยต้นตำรับในรูปแบบร่วมสมัย 
12,สีลม,Lebanese (WA),อัลซาราย ( Al Saray),"https://www.google.com/maps/place/Al+Saray+-+Silom/@13.7288294,100.5346533,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29f2bf8461bad:0x3210d31c5e00ca82!8m2!3d13.7288294!4d100.5346533!16s%2Fg%2F11g68z3yc7?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารเลบานอน-อินเดีย รีวิวอาหารฮาลาล อาหารอินเดียกรุงเทพ 
13,สีลม,Western,Maison Dunand ,"https://www.google.com/maps/place/Maison+Dunand/@13.7228824,100.5274535,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29fd9cd386c3f:0x693d99bdbe632576!8m2!3d13.7228824!4d100.5274535!16s%2Fg%2F11r_fg1qgl?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารไฟน์ไดน์นิ่งสัญชาติฝรั่งเศสในคอนเซ็ปต์ที่ได้แรงบันดาลใจจากเทือกเขาแอลป์โดยเชฟ Arnaud Dunand
14,สีลม,Western,ALL GOOD CACAO BISTRO,"https://www.google.com/maps/place/ALL+GOOD+Cacao+Bistro+%26+Hostel/@13.7231553,100.5205677,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29940d18fe61d:0xf0f2a02adcad3f4d!8m2!3d13.7231553!4d100.5205677!16s%2Fg%2F11s1qrcqdt?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารเพื่อสุขภาพประจำย่านสีลม ที่พร้อมสนับสนุนวัตถุดิบท้องถิ่นและสร้างรายได้ให้แก่ชาวประมง
15,สีลม,Western,Cento,"https://www.google.com/maps/place/Cento/@13.7266526,100.5398183,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29f13995c0997:0xe066f62ee1d6e0e0!8m2!3d13.7266526!4d100.5398183!16s%2Fg%2F11vl980kfn?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารอิตาเลียนบรรยากาศดี
16,สีลม,Chinese,ขาหมูตรอกซุง,"https://www.google.com/maps/place/%E0%B8%82%E0%B8%B2%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%95%E0%B8%A3%E0%B8%AD%E0%B8%81%E0%B8%8B%E0%B8%B8%E0%B8%87%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%A3%E0%B8%B1%E0%B8%81/@13.7194428,100.5166856,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e298c5c0945b7d:0xdd405ab4c70bac23!8m2!3d13.7194428!4d100.5166856!16s%2Fg%2F1tdt3kxc?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านขาหมูเก่าแก่ในย่านบางรักที่ขายขาหมูรสชาติเข้มข้น เสิร์ฟข้าวร้อนๆ กับขาหมูเนื้อนุ่ม หนังนิ่ม
17,สีลม,Thai,พาเลท บาร์ Palate Bar,"https://www.google.com/maps/place/Palate+Bangkok/@13.719161,100.515462,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e298c43312eddf:0xae0683f358202652!8m2!3d13.719161!4d100.515462!16s%2Fg%2F11cn8sj34h?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารกึ่งบาร์ 6 ชั้น รู้ฟท้อปใจกลางเจริญกรุง อาหารอร่อย เครื่องดื่มเพียบ
18,สีลม,Thai,ร้านเจ๊หลีลูกชิ้นปลาเจ้าเก่า,"https://www.google.com/maps/place/Je+Lee+Fish+Ball+Noodle/@13.7209458,100.5162137,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e298c5a81a3aab:0xf9569a7fbb6fcd4a!8m2!3d13.7209458!4d100.5162137!16s%2Fg%2F1pp2v025x?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านก๋วยเตี๋ยวลูกชิ้นปลาเก่าแก่ ย่านบางรัก ลูกชิ้นปลา หนึบ เด้ง ไม่คาว จุดเด่นของร้านนี้คือซอส เย็นตาโฟ
19,สีลม,Western,Giglio,"https://www.google.com/maps/place/Giglio+Trattoria+Fiorentina/@13.7227599,100.525921,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e299fc7b9efd57:0xa164e174405a7be1!8m2!3d13.7227599!4d100.525921!16s%2Fg%2F11jh1pvrcl?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารอิตาเลียนสไตล์ทัสกาน (Tuscan) ที่มีต้นตำรับ จากฝีมือของเชฟร้านอาหารอิตาเลียนชื่อดังอย่าง Peppina
20,สีลม,Chinese,บุญตงกี่,"https://www.google.com/maps/place/Boon+Tong+Kee+Silom+Complex/@13.7227599,100.525921,3407m/data=!3m1!1e3!4m10!1m2!2m1!1z4Lia4Li44LiN4LiV4LiH4LiB4Li14LmIIG5lYXIg4Liq4Li14Lil4LihIEJhbmdrb2s!3m6!1s0x30e29fd07652eb6d:0xb84ce43ea185a317!8m2!3d13.728292!4d100.5345852!15sCjLguJrguLjguI3guJXguIfguIHguLXguYggbmVhciDguKrguLXguKXguKEgQmFuZ2tvayIDiAEBWjciNeC4muC4uOC4jSDguJUg4LiHIOC4geC4teC5iCBuZWFyIOC4quC4teC4peC4oSBiYW5na29rkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11wr95drbb?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารที่มีไก่ฉ่ำๆ เสิร์ฟพร้อมน้ำราดไก่สูตรเฉพาะของบุญตงกี่ อร่อยกลมกล่อมแบบต้นตำรับสิงคโปร์แท้ๆ
21,สีลม,Thai,สุพรรณิการ์  ,"https://www.google.com/maps/place/Supanniga+Eating+Room,+Sathorn+10+:+%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%97%E0%B8%B2%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AA%E0%B8%B8%E0%B8%9E%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C+%E0%B8%AA%E0%B8%B2%E0%B8%97%E0%B8%A3+10/@13.7227599,100.525921,852m/data=!3m1!1e3!4m6!3m5!1s0x30e298cd7c44f369:0x1ad974680990667d!8m2!3d13.7232092!4d100.5272196!16s%2Fg%2F11bx9p4g86?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านอาหารไทยตำรับโบราณ รสจัดจ้าน สูตรเด็ดจากเมืองตราด ดีกรีมิชลิน 6 ปีซ้อน
22,สีลม,Chinese,นายเม้งบะหมี่ปูเกี๊ยวกุ้งยักษ์ Nai Meng Crab Noodle,"https://www.google.com/maps/place/Nai+Meng+Crab+Noodle/@13.722762,100.525915,852m/data=!3m1!1e3!4m6!3m5!1s0x30e29f2954aa00a9:0x583e6cf7a308aafe!8m2!3d13.7286544!4d100.5351116!16s%2Fg%2F1tcv8bgp?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ร้านบะหมี่เกี๊ยวกุ้งปูรวมมิตร เพราะให้เครื่องแน่น โดยเฉพาะเกี๊ยวกุ้งยักษ์ตัวโตที่กุ้งเป็นชิ้นเต็มคำ
23,สีลม,Chinese,ก๋วยเตี๋ยวสิบสองปันนา Sipsong Banna Noodles House,https://maps.app.goo.gl/WvEWLouq32fUGXBM7,ร้านอาหารยืนหนึ่งในเรื่องน้ำเงี้ยว กับสูตรเด็ดเคล็ดลับที่ถ่ายทอดมานานกว่า50ปี อร่อยแบบต้นตำรับชาวเชียงรายแต๊ๆ
24,สีลม,Chinese,Xin Tian Di (ซิน เทียน ตี้),https://maps.app.goo.gl/P2ZCiqr4xJVdFEC69,
25,สีลม,Fusion,Happening,https://maps.app.goo.gl/jtqRyDagKrt7Ddqn7,
26,สีลม,Western,EAT ME RESTAURANT,https://maps.app.goo.gl/HwYZfizGRLA8SiET8,
27,สีลม,Western,Pipula! Bangkok,https://maps.app.goo.gl/rFvchoHNwkEM9Sk27,
28,สีลม,Chinese,321BBQ(Silom),https://maps.app.goo.gl/J4K1hzgAT2p7uepw6,
29,สีลม,Western,Ojo Bangkok,https://maps.app.goo.gl/Ar5d3P7rNYSM9qS47,
30,สีลม,Western,Bardo Social Bistro and Bar,https://maps.app.goo.gl/eK6vxN6kQChHaXAY8,
31,สีลม,Western,The Standard Grill,https://maps.app.goo.gl/beNf5r9KGA4EnrM39,
32,สีลม,Thai,Wander BKK,https://maps.app.goo.gl/v3DgtPFwNdz6e4UDA,
33,สีลม,Vegan,Sook Sathorn Silom Branch,https://maps.app.goo.gl/zo1EpqRkiCE8ZbxN8,
34,สีลม,Western,La Lupita Bangkok,https://maps.app.goo.gl/T2YD9582fvYh1Nvv7,
35,สีลม,Thai,KwanRean Kitchen,https://maps.app.goo.gl/7GkxnXw6zZtiGZuS6,
36,สีลม,Halal,Elbasha Silom Branch,https://maps.app.goo.gl/fymwUHNKRgHKcwEo8,
37,สีลม,Thai,Khrua Ban Bang Rak ครัวบ้านบางรัก,https://maps.app.goo.gl/96P3ehiVFvWD1W3B9,
38,สีลม,Western,The Verandah,https://maps.app.goo.gl/JwtZcPjsSND11sLS7,
39,สีลม,Thai,เล ลาว สาขาสีลม lay lao - Silom,https://maps.app.goo.gl/BqQq5UmuM33yPdxd9,
40,สีลม,Western,G's,https://maps.app.goo.gl/NhgXbqNhLE9CTYrN6,
41,สีลม,South Asian,EKKA Indian Grill and Bar,https://maps.app.goo.gl/iEJKDqj2PKhwUjmE7,
42,สีลม,Western,Rolling Ribs Brew Bar & BBQ,https://maps.app.goo.gl/a66oGhaBhPF87oYh8,
43,สีลม,Western,The Shack Bangkok,https://maps.app.goo.gl/8YPM2Vo4gNxT5i9u8,
44,สีลม,Thai,BIB: Break in Bangkok,https://maps.app.goo.gl/EksRbinEs5prfGrx9,
45,สีลม,Western,Babyccino Mahanakhon,https://maps.app.goo.gl/YyDGucvTxTFsoygk7,
46,สีลม,Western,XII Bistro & Bar,https://maps.app.goo.gl/A8TbA4Mb61sojAho6,
47,สีลม,Western,Opus The Italian Wine Bar & Restaurant,https://maps.app.goo.gl/xufAzgUzQiAeiiSs9,
48,สีลม,Turkish (WA),The Marca,https://maps.app.goo.gl/YNTVL25oAqFswC2r8,
49,สีลม,Western,Lo Strabacco,https://maps.app.goo.gl/2ohEoiHskSmatb9C9,
50,สีลม,Thai,Baan Somtum Sathorn,https://maps.app.goo.gl/Z76yHroAe2hFktKd9,
51,สีลม,Thai,Baan Chiang Restaurant ร้านอาหารบ้านเชียง,https://maps.app.goo.gl/2QhUw9jTG4Fv5cj46,
52,สีลม,Thai,ข้าวต้มกุ๊ยรวยมิตร สาทร 10 : RUAY MITR Sathorn 10,https://maps.app.goo.gl/8pZVWaaqDTYxE8aD8,
53,สีลม,Thai,SOI Bangkok Restaurant,https://maps.app.goo.gl/wmmGPTkYX1fY97V76,
54,สีลม,Western,Le Café des Stagiaires - Bangkok,https://maps.app.goo.gl/svGqS5hj2hAGxLAB9,
55,สีลม,Western,Kai New Zealand,https://maps.app.goo.gl/TSG2sRhNXGXYp3BV9,
56,สีลม,Thai,The House on Sathorn,https://maps.app.goo.gl/W6neGat1HedqaJz2A,
57,สีลม,Western,La Dotta Pasta Bar,https://maps.app.goo.gl/16pNSbacw9tscnGB8,
58,สีลม,Western,Marco Polo,https://maps.app.goo.gl/DPCc9TqGhGZoi7fa8,
59,สีลม,Thai,Lon Lon Local Diner,https://maps.app.goo.gl/r13oHUJw323x41mw6,
60,สีลม,Vegan,Veganerie Silom,https://maps.app.goo.gl/69Q6QszeGaCbForN6,
61,สีลม,South Asian,BDESI,https://maps.app.goo.gl/NoHQg2h6aRLrwwP88,
62,สีลม,Chinese,Mott32,https://maps.app.goo.gl/seYS7BSWfXyCTK6m8,
63,สีลม,Japanese,Teppen Sathorn,https://maps.app.goo.gl/xLCu3DHx8bW6a19o9,
64,สีลม,Japanese,EGAO Izakaya,https://maps.app.goo.gl/tzzZodWqfmWt3epX7,
65,สีลม,Japanese,Terra Sathon,https://maps.app.goo.gl/WLepGFhHxHRpZebY6,
66,สีลม,Japanese,Izakaya Hotei at Sathorn12,https://maps.app.goo.gl/z4Stmb4ERfXSFnrH7,
67,สีลม,Japanese,Hokkaido Genshiyaki,https://maps.app.goo.gl/favcXhasAv425Sux7,
68,สีลม,Thai,Samrub Samrub Thai,https://maps.app.goo.gl/PZpnzWuxQKyeBDJ27,
69,สีลม,Western,90GRAMS,https://maps.app.goo.gl/Njv6Hhd9fZ1kq6Nd6,
70,สีลม,Western,kasnäsbkk,https://maps.app.goo.gl/uw6E1BubZbjtRGEN8,
71,สีลม,Japanese,ROUX'S,https://maps.app.goo.gl/hRPKYnRUdrkPi4oR8,
72,สีลม,"Vegan, Healthy",Suananda Vegetarian garden cafe (อาหารมังสวิรัติ),https://maps.app.goo.gl/qTaPvRvWLk5E7hKW7,
73,สีลม,Healthy,Ji Ma Wu จี๊หม่าหวู งาดำ,https://maps.app.goo.gl/2U8234dd73YgCXEL7,
74,สีลม,Healthy,ร้านเก๋ากลางกรุง,https://maps.app.goo.gl/3QrFHsYMBDVSc3vcA,
75,สีลม,Healthy,Hom Run Juan Cuisine - หอมรัญจวน,https://maps.app.goo.gl/rhLvVEN3TFjTxJmg9,
76,สีลม,Korean,Yoonique House,https://maps.app.goo.gl/8xRdqqpTeqVvhnCA9,
77,สีลม,Healthy,Hea Kaew Boran Soup (Since 1994),https://maps.app.goo.gl/LrAwtTvh1YbnJAwP6,
,,,,,
1,บางรัก,Thai,คอสามล้อ,"https://www.google.com/maps/place/Sam+Lor/@13.7302557,100.512981,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29949a21c764f:0x5244a59b041fbee!8m2!3d13.7302505!4d100.5155559!16s%2Fg%2F11lkjymcdt?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",
2,บางรัก,Thai,ต๋องเต็มโต๊ะ,"https://www.google.com/maps/place/Tong+Tem+Toh/@13.7302557,100.512981,852m/data=!3m1!1e3!4m6!3m5!1s0x30e299162f0579b5:0x117a5a5382be963f!8m2!3d13.720869!4d100.5153295!16s%2Fg%2F11vyqj4fpw?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ริมแม่น้ำเจ้าพระยา
3,บางรัก,Western,Oscar &Blanco,"https://www.google.com/maps/place/Osca+%26+Blanco+Bar+and+Restaurant/@13.7208742,100.5127546,852m/data=!3m1!1e3!4m6!3m5!1s0x30e299106f6edc41:0x403141082c01f2f!8m2!3d13.7267551!4d100.5142965!16s%2Fg%2F11rkpb9dcb?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ริมแม่น้ำเจ้าพระยา
4,บางรัก,Western,Howler Bar & Grill,"https://www.google.com/maps/place/Howler+Bar+%26+Grill/@13.7270721,100.5116493,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e299db1f4c7d85:0xbf0b17dc0b124e34!8m2!3d13.7270669!4d100.5142242!16s%2Fg%2F11rmt361zp?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ริมแม่น้ำเจ้าพระยา
